dataset,seed,budget,method,selected_rules,f1,roc_auc,pr_auc
covtype_binary_20000,29,50,lofo_f1_bootstrap_h_lr,50,0.7792715717428501,0.8377916197623516,0.7966280502164704
covtype_binary_20000,29,100,budget_prune_h_lr,100,0.7608200455580866,0.834713195747342,0.7932074332094168
covtype_binary_20000,29,100,stable_budget_prune_h_lr,100,0.7608200455580866,0.834713195747342,0.7932074332094168
covtype_binary_20000,29,100,gate_l1_topk_proxy_h_lr,100,0.7875520705709385,0.8455757348342715,0.8049104783750376
covtype_binary_20000,29,100,forward_f1_h_lr,100,0.7826300294406281,0.841133708567855,0.8022014546273322
covtype_binary_20000,29,100,lofo_f1_h_lr,100,0.7894864930640059,0.8403036898061288,0.7968130788166692
covtype_binary_20000,29,100,lofo_f1_bootstrap_h_lr,100,0.7873170731707317,0.8411269543464667,0.7993724250273913
covtype_binary_20000,29,200,budget_prune_h_lr,200,0.7812653261402648,0.841930206378987,0.8008476192892904
covtype_binary_20000,29,200,stable_budget_prune_h_lr,200,0.7812653261402648,0.841930206378987,0.8008476192892904
covtype_binary_20000,29,200,gate_l1_topk_proxy_h_lr,200,0.7868530782438067,0.8457403377110694,0.8046795258033028
covtype_binary_20000,29,200,forward_f1_h_lr,200,0.7807748896517901,0.8419642276422765,0.800958903652148
covtype_binary_20000,29,200,lofo_f1_h_lr,200,0.78857421875,0.8413853658536585,0.7979703663088406
covtype_binary_20000,29,200,lofo_f1_bootstrap_h_lr,200,0.7883675464320625,0.8420322701688556,0.7997682803201047
covtype_binary_20000,29,400,budget_prune_h_lr,400,0.7864672713900466,0.8448585365853659,0.8025941558687723
covtype_binary_20000,29,400,stable_budget_prune_h_lr,200,0.7812653261402648,0.841930206378987,0.8008476192892904
covtype_binary_20000,29,400,gate_l1_topk_proxy_h_lr,400,0.7850834151128557,0.8457741088180112,0.8043104300369128
covtype_binary_20000,29,400,forward_f1_h_lr,200,0.7807748896517901,0.8419642276422765,0.800958903652148
covtype_binary_20000,29,400,lofo_f1_h_lr,400,0.7856967915748224,0.8440825515947467,0.8014505221597648
covtype_binary_20000,29,400,lofo_f1_bootstrap_h_lr,400,0.7863792258696717,0.8441723577235773,0.8018120188101225
