dataset,seed,budget,corr_threshold,cluster_id,cluster_size,representative_rule_id,representative_importance,selected
covtype_binary_20000,1,50,0.75,31,3,54,16.29367781817849,0
covtype_binary_20000,1,50,0.75,32,6,579,18.043911706100044,1
covtype_binary_20000,1,50,0.75,33,12,246,5.202202816255595,0
covtype_binary_20000,1,50,0.75,34,4,19,16.80401194641459,0
covtype_binary_20000,1,50,0.75,35,12,398,18.043911706100044,1
covtype_binary_20000,1,50,0.75,36,12,92,13.93823358782492,0
covtype_binary_20000,1,50,0.75,37,6,701,18.043911706100044,1
covtype_binary_20000,1,50,0.75,38,9,102,18.01718767620237,1
covtype_binary_20000,1,50,0.75,39,9,24,17.497511638896984,0
covtype_binary_20000,1,50,0.75,40,6,110,17.122506922932203,0
covtype_binary_20000,1,50,0.75,41,6,703,18.043911706100044,1
covtype_binary_20000,1,50,0.75,42,12,597,18.043911706100044,1
covtype_binary_20000,1,50,0.75,43,11,154,8.235243659596488,0
covtype_binary_20000,1,50,0.75,44,12,810,18.043911706100044,1
covtype_binary_20000,1,50,0.75,45,8,116,17.87014059711519,0
covtype_binary_20000,1,50,0.75,46,12,565,18.043911706100044,1
covtype_binary_20000,1,50,0.75,47,6,518,18.043911706100044,1
covtype_binary_20000,1,50,0.75,48,5,237,1.5653665294789825,0
covtype_binary_20000,1,50,0.75,49,40,164,16.961098926875486,0
covtype_binary_20000,1,50,0.75,50,9,67,17.086411156266234,0
covtype_binary_20000,1,50,0.75,51,1,794,0.26867962596811795,0
covtype_binary_20000,1,50,0.75,52,12,716,18.043911706100044,1
covtype_binary_20000,1,50,0.75,53,42,43,16.64798911781303,0
covtype_binary_20000,1,50,0.75,54,19,782,18.043911706100044,1
covtype_binary_20000,1,50,0.75,55,7,108,3.9352458401589545,0
covtype_binary_20000,1,50,0.75,56,6,695,18.043911706100044,1
covtype_binary_20000,1,50,0.75,57,18,48,18.043911706100044,1
covtype_binary_20000,1,50,0.75,58,12,166,10.01889193515504,0
covtype_binary_20000,1,50,0.75,59,6,549,18.043911706100044,1
covtype_binary_20000,1,50,0.75,60,9,0,18.043911707128586,1
covtype_binary_20000,1,50,0.75,61,12,693,17.954165348970545,0
covtype_binary_20000,1,50,0.75,62,20,522,18.043911706100044,1
covtype_binary_20000,1,50,0.75,63,42,109,9.624459405238929,0
covtype_binary_20000,1,50,0.75,64,43,98,8.23107596707006,0
covtype_binary_20000,1,50,0.75,65,2,438,0.1842764383127507,0
covtype_binary_20000,1,50,0.75,66,7,458,18.043911706100044,1
covtype_binary_20000,1,50,0.75,67,7,685,18.043911706100044,1
covtype_binary_20000,1,50,0.75,68,9,104,17.40763229263146,0
covtype_binary_20000,1,50,0.75,69,9,411,17.899200462712717,0
