dataset,budget,method,corr_threshold,seed_a,seed_b,rule_jaccard,meta_cluster_jaccard
covtype_binary_20000,50,budget_prune,0.75,29,41,0.08695652173913043,0.6
covtype_binary_20000,50,budget_prune,0.75,29,43,0.13636363636363635,0.6363636363636364
covtype_binary_20000,50,budget_prune,0.75,31,37,0.20481927710843373,0.4444444444444444
covtype_binary_20000,50,budget_prune,0.75,31,41,0.13636363636363635,0.4444444444444444
covtype_binary_20000,50,budget_prune,0.75,31,43,0.20481927710843373,0.36363636363636365
covtype_binary_20000,50,budget_prune,0.75,37,41,0.16279069767441862,0.6
covtype_binary_20000,50,budget_prune,0.75,37,43,0.25,0.6363636363636364
covtype_binary_20000,50,budget_prune,0.75,41,43,0.13636363636363635,0.8
covtype_binary_20000,50,loro_bce,0.75,1,7,0.14942528735632185,0.7692307692307693
covtype_binary_20000,50,loro_bce,0.75,1,13,0.21951219512195122,0.7272727272727273
covtype_binary_20000,50,loro_bce,0.75,1,19,0.08695652173913043,0.5384615384615384
covtype_binary_20000,50,loro_bce,0.75,1,23,0.07526881720430108,0.5
covtype_binary_20000,50,loro_bce,0.75,1,29,0.08695652173913043,0.375
covtype_binary_20000,50,loro_bce,0.75,1,31,0.21951219512195122,0.5882352941176471
covtype_binary_20000,50,loro_bce,0.75,1,37,0.14942528735632185,0.4375
covtype_binary_20000,50,loro_bce,0.75,1,41,0.13636363636363635,0.4666666666666667
covtype_binary_20000,50,loro_bce,0.75,1,43,0.14942528735632185,0.7142857142857143
covtype_binary_20000,50,loro_bce,0.75,7,13,0.14942528735632185,0.6666666666666666
covtype_binary_20000,50,loro_bce,0.75,7,19,0.07526881720430108,0.6153846153846154
covtype_binary_20000,50,loro_bce,0.75,7,23,0.06382978723404255,0.5714285714285714
covtype_binary_20000,50,loro_bce,0.75,7,29,0.1111111111111111,0.4375
covtype_binary_20000,50,loro_bce,0.75,7,31,0.08695652173913043,0.75
covtype_binary_20000,50,loro_bce,0.75,7,37,0.21951219512195122,0.4117647058823529
covtype_binary_20000,50,loro_bce,0.75,7,41,0.26582278481012656,0.6428571428571429
covtype_binary_20000,50,loro_bce,0.75,7,43,0.13636363636363635,0.7857142857142857
covtype_binary_20000,50,loro_bce,0.75,13,19,0.08695652173913043,0.5454545454545454
covtype_binary_20000,50,loro_bce,0.75,13,23,0.07526881720430108,0.6363636363636364
